node,bidir_probs,deeprank_probs,ns_paths,min_depths,max_depths,in_degrees,pageranks,labels
NoSQL,0.538461538462,0.00861363664394,13,3,5,0.0078125,0.00132854437996,0
SoftBank Group,0.75,0.00197251274554,4,3,5,0.00520833333333,0.000802546253841,0
Best Buy,0.75,0.00416666666667,2,3,4,0.00520833333333,0.000817058808668,0
Memory address,0.866666666667,0.00364860476417,15,3,5,0.0078125,0.00137203100258,0
HP Inc.,0.8,0.00105408341194,5,3,5,0.00260416666667,0.000818714459882,0
Martin Fowler,1.0,0.00167224080268,1,3,3,0.00260416666667,0.000601276589196,0
Wayland (display server protocol),0.8,0.00105408341194,5,3,5,0.00260416666667,0.000818714459882,0
State (computer science),0.863636363636,0.0085343379567,44,3,5,0.0130208333333,0.00393443221856,0
Wolfram Alpha,1.0,0.0384615384615,1,2,2,0.0078125,0.00122132658877,0
Intel XDK,0.5,0.00170243403939,3,3,5,0.00260416666667,0.000629062044302,0
GoDaddy,0.46875,0.00163704673928,16,3,5,0.00260416666667,0.000613981261508,0
Google Maps,0.365384615385,0.000783592268425,13,3,5,0.00260416666667,0.00075255839374,0
SAP SE,0.46875,0.00163704673928,16,3,5,0.00260416666667,0.000613981261508,0
South Korea,0.8,0.00172410359499,5,3,5,0.00260416666667,0.00082113238986,0
Static random-access memory,0.730769230769,0.00291909641826,13,3,5,0.0078125,0.00371706214947,0
JavaFX,0.75,0.00223529029159,15,3,5,0.0078125,0.000813556174534,0
Google+,0.407894736842,0.00138908686705,19,3,5,0.0078125,0.0012856353139,0
Input/output,0.75,0.00807051041382,44,3,5,0.0104166666667,0.00433687995693,0
ECMAScript,0.372222222222,0.00228290308127,45,3,5,0.0078125,0.000855230023593,0
Directive (programming),1.0,0.0384615384615,1,2,2,0.00260416666667,0.000601672239029,0
Stripe (company),1.0,0.00549450549451,1,3,3,0.00260416666667,0.000645805843496,0
The World Factbook,1.0,0.00384615384615,1,3,3,0.00260416666667,0.000676561834638,0
Primetime (TV series),1.0,0.00320512820513,1,3,3,0.00260416666667,0.000706391388662,0
Personal computer,0.631009615385,0.0139684192795,104,3,5,0.0286458333333,0.0077190977243,0
Pixel (smartphone),0.365384615385,0.000783592268425,13,3,5,0.00260416666667,0.00075255839374,0
HTML,0.539670658683,0.0682547698981,167,2,5,0.0494791666667,0.00948229963465,1
List of most popular websites,1.0,0.00549450549451,1,3,3,0.00260416666667,0.000645805843496,0
Front and back ends,0.611111111111,0.00223779658133,9,3,5,0.0078125,0.000860136491585,0
"Mountain View, California",0.37,0.00116000012195,25,3,5,0.0078125,0.00113236066147,0
Functional programming,0.676923076923,0.00675404204709,65,3,5,0.015625,0.00237569361251,0
Library (computing),0.807065217391,0.0129573011089,92,3,5,0.03125,0.00307043206043,0
"Santa Clara, California",0.4,0.00105408341194,5,3,5,0.00260416666667,0.000818714459882,0
Software testing,0.944444444444,0.0416533982878,18,2,5,0.00520833333333,0.00164393305489,0
Mediator pattern,1.0,0.00167224080268,1,3,3,0.00260416666667,0.000601276589196,0
