sep=,
node,bidir_probs,deeprank_probs,ns_paths,min_depths,max_depths,in_degrees,pageranks
NoSQL,0.5384615384615384,0.008613636643939673,13,3,5,0.0078125,0.0013285443799602526
SoftBank Group,0.75,0.001972512745539061,4,3,5,0.005208333333333333,0.0008025462538406352
Best Buy,0.75,0.004166666666666667,2,3,4,0.005208333333333333,0.0008170588086680945
Memory address,0.8666666666666667,0.0036486047641654047,15,3,5,0.0078125,0.001372031002579899
HP Inc.,0.8,0.0010540834119429439,5,3,5,0.0026041666666666665,0.0008187144598816602
Martin Fowler,1.0,0.0016722408026755853,1,3,3,0.0026041666666666665,0.0006012765891957053
Wayland (display server protocol),0.8,0.0010540834119429439,5,3,5,0.0026041666666666665,0.0008187144598816602
State (computer science),0.8636363636363636,0.00853433795670135,44,3,5,0.013020833333333332,0.003934432218559854
Wolfram Alpha,1.0,0.038461538461538464,1,2,2,0.0078125,0.001221326588767691
Intel XDK,0.5,0.001702434039390561,3,3,5,0.0026041666666666665,0.0006290620443020673
GoDaddy,0.46875,0.0016370467392814612,16,3,5,0.0026041666666666665,0.0006139812615080024
Google Maps,0.36538461538461536,0.0007835922684245304,13,3,5,0.0026041666666666665,0.0007525583937399656
SAP SE,0.46875,0.0016370467392814612,16,3,5,0.0026041666666666665,0.0006139812615080024
South Korea,0.8,0.0017241035949917527,5,3,5,0.0026041666666666665,0.0008211323898601275
Static random-access memory,0.7307692307692307,0.0029190964182602983,13,3,5,0.0078125,0.003717062149467415
JavaFX,0.75,0.002235290291593257,15,3,5,0.0078125,0.0008135561745343705
Google+,0.40789473684210525,0.0013890868670541402,19,3,5,0.0078125,0.0012856353138994165
Input/output,0.75,0.00807051041381627,44,3,5,0.010416666666666666,0.004336879956928535
ECMAScript,0.37222222222222223,0.0022829030812721823,45,3,5,0.0078125,0.0008552300235930397
Directive (programming),1.0,0.038461538461538464,1,2,2,0.0026041666666666665,0.0006016722390294424
Stripe (company),1.0,0.005494505494505495,1,3,3,0.0026041666666666665,0.0006458058434961235
The World Factbook,1.0,0.0038461538461538464,1,3,3,0.0026041666666666665,0.0006765618346376424
Primetime (TV series),1.0,0.003205128205128205,1,3,3,0.0026041666666666665,0.0007063913886620467
Personal computer,0.6310096153846154,0.013968419279515877,104,3,5,0.028645833333333332,0.0077190977242960245
Pixel (smartphone),0.36538461538461536,0.0007835922684245304,13,3,5,0.0026041666666666665,0.0007525583937399656
HTML,0.5396706586826348,0.06825476989813209,167,2,5,0.049479166666666664,0.00948229963465274
List of most popular websites,1.0,0.005494505494505495,1,3,3,0.0026041666666666665,0.0006458058434961235
Front and back ends,0.6111111111111112,0.0022377965813320504,9,3,5,0.0078125,0.0008601364915848909
"Mountain View, California",0.37,0.0011600001219490884,25,3,5,0.0078125,0.0011323606614705324
Functional programming,0.676923076923077,0.00675404204709267,65,3,5,0.015625,0.002375693612506128
Library (computing),0.8070652173913043,0.012957301108941614,92,3,5,0.03125,0.003070432060426741
"Santa Clara, California",0.4,0.0010540834119429439,5,3,5,0.0026041666666666665,0.0008187144598816602
Software testing,0.9444444444444444,0.04165339828776614,18,2,5,0.005208333333333333,0.001643933054891856
Mediator pattern,1.0,0.0016722408026755853,1,3,3,0.0026041666666666665,0.0006012765891957053
Mission statement,0.7307692307692307,0.0007835922684245304,13,3,5,0.0026041666666666665,0.0007525583937399656
Google Daydream,0.36538461538461536,0.0007835922684245304,13,3,5,0.0026041666666666665,0.0007525583937399656
Client-side,0.6202830188679245,0.011873314609176993,53,3,5,0.010416666666666666,0.001923831034724695
Google Translate,0.36538461538461536,0.0007835922684245304,13,3,5,0.0026041666666666665,0.0007525583937399656
Corporate spin-off,0.8333333333333334,0.002410577749976623,15,3,5,0.005208333333333333,0.0009210198213075175
Prototype-based programming,0.36538461538461536,0.002054915765372778,39,3,5,0.005208333333333333,0.0007419426055235226
Google Search,0.36538461538461536,0.0007835922684245304,13,3,5,0.0026041666666666665,0.0007525583937399656
American Broadcasting Company,0.55,0.014334045584045581,10,3,5,0.0234375,0.003146657467457423
"Google Docs, Sheets and Slides",0.3472222222222222,0.0011650270892186187,18,3,5,0.005208333333333333,0.0010886584790339234
Google Chrome,0.4441176470588235,0.00668906745104727,85,3,5,0.018229166666666664,0.003491242660169213
Bob Wright,0.4,0.0017241035949917527,5,3,5,0.0026041666666666665,0.0008211323898601275
Open-source software,0.6675824175824175,0.05723855663181726,91,2,5,0.03645833333333333,0.009717665297793561
Software widget,0.6896551724137931,0.0018211544218973497,29,3,5,0.0026041666666666665,0.000651846228833943
Automation,0.7692307692307693,0.003798221639907986,13,3,5,0.005208333333333333,0.0007469455231327451
Ajax (programming),0.6527777777777778,0.009513399272903211,36,3,5,0.018229166666666664,0.0018972955431627735
AngularJS,0,0,0,0,0,0.010416666666666666,0.0008848402313695704
Event-driven architecture,0.46875,0.0016370467392814612,16,3,5,0.0026041666666666665,0.0006139812615080024
Advanced Micro Devices,0.6060606060606061,0.0023541697882240795,33,3,5,0.013020833333333332,0.0018935956210744441
Asynchronous module definition,1.0,0.005494505494505495,1,3,3,0.0026041666666666665,0.0006458058434961235
Dynamic programming language,0.6995192307692307,0.003426156514929719,52,3,5,0.010416666666666666,0.0012583891171458368
JavaScript,0.5689655172413793,0.07165283797915353,87,2,5,0.05989583333333333,0.0035359345722366597
Intel,0.5714285714285714,0.04154822730151424,21,2,5,0.046875,0.011293307851756897
Runtime system,0.5340909090909091,0.0018612471153036994,22,3,5,0.005208333333333333,0.0007272686795775195
Cisco Systems,0.5,0.002073578830671852,21,3,5,0.005208333333333333,0.0007740095266275647
Google Allo,0.36538461538461536,0.0007835922684245304,13,3,5,0.0026041666666666665,0.0007525583937399656
Question answering,0.5,0.006826923076923077,7,3,5,0.0078125,0.0012962161843758913
Competition law,0.8,0.0017241035949917527,5,3,5,0.0026041666666666665,0.0008211323898601275
Yahoo!,0.46875,0.0016370467392814612,16,3,5,0.005208333333333333,0.0007397386723396719
Use case,1.0,0.0016722408026755853,1,3,3,0.0026041666666666665,0.0006012765891957053
30 Rockefeller Plaza,0.5961538461538461,0.0026209771892337684,13,3,5,0.0078125,0.0012547761544424102
Owned-and-operated station,0.65,0.003830807654820813,15,3,5,0.0078125,0.0012950757754892654
Douglas Crockford,0.375,0.0032868241719173396,8,3,5,0.0026041666666666665,0.0007136011286075427
Google Calendar,0.36538461538461536,0.0007835922684245304,13,3,5,0.0026041666666666665,0.0007525583937399656
IBM,0.648936170212766,0.0068049637492360315,47,3,5,0.018229166666666664,0.002213081799040601
Windows Phone,0.5330882352941176,0.003644902030424103,34,3,5,0.010416666666666666,0.001189195294408242
PayPal,0.5,0.002982461907637133,22,3,5,0.0078125,0.0009893490954737249
Reference (computer science),0.53125,0.0032907738714374867,8,3,5,0.005208333333333333,0.001078849226301324
General Electric,0.6477272727272727,0.0052016839961991565,22,3,5,0.013020833333333332,0.002684182199695872
Object-oriented programming,0.615625,0.006935346319917551,80,3,5,0.020833333333333332,0.0023396276009870313
Model–view–controller,0.65625,0.04107928511402613,8,2,5,0.010416666666666666,0.0008228617481548379
Telerik,1.0,0.001702434039390561,3,3,5,0.0026041666666666665,0.0006290620443020673
Sandbox (computer security),0.875,0.0018885071680102737,4,3,5,0.0026041666666666665,0.0006525702512144571
Rockefeller Center,0.7166666666666667,0.002720692288948868,15,3,5,0.0078125,0.0013285016734277558
Dell,0.8,0.0010540834119429439,5,3,5,0.0026041666666666665,0.0008187144598816602
RCA,0.7142857142857143,0.0022048728257609835,7,3,5,0.005208333333333333,0.001040966065739371
Sundar Pichai,0.3,0.0009389905187884557,20,3,5,0.005208333333333333,0.0009339003239679825
Clearwire,0.4166666666666667,0.0016519999250262409,3,3,5,0.0026041666666666665,0.0006859345829175031
Static web page,0.40406976744186046,0.008371398907857586,43,3,5,0.0078125,0.0020202780953663315
Big Three television networks,0.4875,0.004036575479832058,20,3,5,0.0078125,0.001449521807501964
Hyperlink,0.6592261904761905,0.014315712459607478,168,3,5,0.013020833333333332,0.007228665836797755
LatencyTOP,0.4,0.0010540834119429439,5,3,5,0.0026041666666666665,0.0008187144598816602
Server-side,0.5805555555555556,0.007605045976939952,45,3,5,0.0078125,0.001247354664378244
Bracket,0.703125,0.004085448843967213,32,3,5,0.0026041666666666665,0.0011102172046883589
Collaborative software development model,0.390625,0.006009060105224953,16,3,5,0.0026041666666666665,0.0016054270763033217
Imperative programming,0.8192307692307692,0.014933269912478337,130,3,5,0.018229166666666664,0.005085608774087167
Adobe Flash,0.55,0.0031948436425766878,20,3,5,0.010416666666666666,0.0009642221606353999
Logo of NBC,0.4375,0.002144331515219673,8,3,5,0.005208333333333333,0.001034456775130265
Walgreens,1.0,0.038461538461538464,1,2,2,0.010416666666666666,0.001517236909022932
Web standards,0.875,0.0018885071680102737,4,3,5,0.0026041666666666665,0.0006525702512144571
Interpreted language,0.6044776119402985,0.003850287896560006,67,3,5,0.010416666666666666,0.0015412163630091496
Local telephone service,0.8333333333333334,0.0016519999250262409,3,3,5,0.0026041666666666665,0.0006859345829175031
Out of the box (feature),0.875,0.004097294010337489,4,3,5,0.0026041666666666665,0.0006426888667086143
Dow Jones & Company,1.0,0.0038461538461538464,1,3,3,0.0026041666666666665,0.0006765618346376424
Mobile virtual network operator,0.5833333333333334,0.0031003381153552776,9,3,5,0.010416666666666666,0.002190658557744795
MIT License,0.65,0.005530251900729251,5,3,5,0.0078125,0.0014304976800058706
Illinois,0.5,0.016426282051282052,13,3,5,0.013020833333333332,0.004194837973381164
Google Keep,0.36538461538461536,0.0007835922684245304,13,3,5,0.0026041666666666665,0.0007525583937399656
Embedded system,0.7272727272727273,0.00478589386424884,44,3,5,0.0234375,0.02060402836812248
Ruby (programming language),0.673469387755102,0.006220346970984231,49,3,5,0.010416666666666666,0.0015437121238365552
Media type,0.6875,0.004082811964526524,16,3,5,0.005208333333333333,0.0009589716851860183
Software framework,0.8452380952380952,0.007262923244304563,21,3,5,0.015625,0.001280001904330764
Rakuten,0.46875,0.0016370467392814612,16,3,5,0.0026041666666666665,0.0006139812615080024
Document-oriented database,0.5714285714285714,0.005246633276936308,7,3,5,0.0026041666666666665,0.0008479908228192314
Semantics,0.821078431372549,0.026671846023663317,102,3,5,0.013020833333333332,0.006635945414374277
Virtual machine,0.7807692307692308,0.006025646572209056,65,3,5,0.015625,0.002078334622258024
Scripting language,0.6417682926829268,0.00584474023182114,82,3,5,0.010416666666666666,0.001998873008992169
Nextel Communications,0.4166666666666667,0.0016519999250262409,3,3,5,0.0026041666666666665,0.0006859345829175031
Asynchronous I/O,0.6176470588235294,0.005710966792688275,34,3,5,0.0078125,0.0009161227991014813
Multiple phone web-based application framework,1.0,0.001702434039390561,3,3,5,0.0026041666666666665,0.0006290620443020673
JavaScript framework,0.46875,0.0016370467392814612,16,3,5,0.0026041666666666665,0.0006139812615080024
ZK (framework),1.0,0.0016722408026755853,1,3,3,0.0026041666666666665,0.0006012765891957053
Software bug,1.0,0.01006610576923077,3,3,5,0.0026041666666666665,0.0009221173795889666
Motherboard,0.7740384615384616,0.015310897355084292,52,3,5,0.015625,0.025498870731720462
India,0.8125,0.002005297375889187,24,3,5,0.005208333333333333,0.0027212573603691875
Open standard,0.6939655172413793,0.005573131144089255,58,3,5,0.0078125,0.0017523893581713175
Dynamic random-access memory,0.775,0.003827925793963903,20,3,5,0.0078125,0.004209795765441794
ABC World News Tonight,0.5,0.003205128205128205,1,3,3,0.0026041666666666665,0.0007063913886620467
Computer industry,0.8,0.0010540834119429439,5,3,5,0.0026041666666666665,0.0008187144598816602
Real-time communication,0.46875,0.0016370467392814612,16,3,5,0.0026041666666666665,0.0006139812615080024
Value (computer science),0.7732558139534884,0.005724788660514262,43,3,5,0.013020833333333332,0.0019178081495813473
Monaca (mobile application development tool),0.5,0.001702434039390561,3,3,5,0.0026041666666666665,0.0006290620443020673
Application software,0.7258858267716536,0.03397215577903862,254,3,5,0.04427083333333333,0.007954232711887783
