node,bidir_probs,deeprank_probs,ns_paths,min_depths,max_depths,in_degrees,pageranks,labels
Personal web page,0.819444444444,0.000176246493659,18,4,5,0.000300571085062,7.36581266464e-05,8
Vehicle registration plates of Illinois,0.333333333333,8.96941973872e-05,6,4,5,0.000300571085062,6.2548872686e-05,0
Adobe Systems,0.657142857143,0.00197845030845,35,3,5,0.00571085061617,0.000253441537534,5
NoSQL,0.578947368421,0.0074908163292,19,3,5,0.0039074241058,0.000206005595235,8
Nasdaq Nordic,0.833333333333,0.00114085325331,6,4,5,0.000300571085062,0.000131498204304,0
Fortran,0.8625,0.000235273226676,40,4,5,0.00450856627592,0.00021934063789,9
States of Mexico,0.8125,2.60994226813e-05,8,4,5,0.000601142170123,0.000128885007916,0
Rebol,0.431818181818,7.8561029738e-05,11,4,5,0.000300571085062,5.80836631002e-05,8
Yahoo! Mail,0.305555555556,0.0003616990778,18,4,5,0.000901713255185,0.000106104007965,8
Media conglomerate,0.692307692308,0.000301663365671,13,4,5,0.00150285542531,0.00017876204159,8
Metadata,0.815476190476,0.00147326617946,42,4,5,0.00480913736099,0.00040436335804,9
Automotive industry,0.772727272727,0.000173292069024,11,4,5,0.00180342651037,0.000124821770509,8
List of countries by exports,1.0,7.71943926365e-05,8,4,5,0.000901713255185,0.000149893950385,0
Product bundling,0.852941176471,0.000763209907303,34,4,5,0.000300571085062,0.000161311865078,5
Wolff Olins,0.75,0.000128049744278,7,4,5,0.000300571085062,6.39382488221e-05,0
Watch,0.868421052632,0.000224910528737,19,4,5,0.00120228434025,0.000331767359137,8
Independent telephone company,0.833333333333,0.000125742313242,3,4,5,0.000601142170123,6.83368012962e-05,0
Semantic search,0.5,2.9842815884e-05,4,4,5,0.000601142170123,6.81005820431e-05,0
Big Four (Central Pacific Railroad),0.9,2.66787521346e-05,5,4,5,0.000300571085062,5.9490846027e-05,0
Leonard Bosack,0.35,7.40462687233e-05,5,4,5,0.000300571085062,6.1682218162e-05,0
Networking hardware,0.635416666667,0.000276383170528,24,4,5,0.00210399759543,0.00034007764885,5
Wissahickon Valley Park,0.6875,4.95517856629e-05,4,4,5,0.000601142170123,8.46278146533e-05,0
Roman Empire,0.84375,0.000216774245158,8,4,5,0.00210399759543,0.000825153608525,0
Ixquick,0.5,2.42197839452e-05,3,4,5,0.000300571085062,5.61642711902e-05,0
Derivative work,0.546875,0.000788857804433,16,4,5,0.000901713255185,0.000184225147834,8
GoDaddy,0.46875,0.00160373143683,16,3,5,0.000300571085062,5.4425666263e-05,8
Glossary,0.8125,0.00024333490886,12,4,5,0.000300571085062,8.86169933159e-05,8
Hypermarket,0.583333333333,6.40395946351e-05,6,4,5,0.000601142170123,6.87827183634e-05,0
Military,0.857142857143,0.000534355386329,7,4,5,0.00150285542531,0.00025108813981,0
Business-to-business,0.865384615385,0.000101625438049,26,4,5,0.000901713255185,0.000155430826323,5
"Newton, Massachusetts",0.875,7.54202255919e-05,4,4,5,0.000300571085062,6.02200403705e-05,0
