node,bidir_probs,deeprank_probs,ns_paths,min_depths,max_depths,in_degrees,pageranks,labels
"Murray Hill, New Jersey",0.193181818182,0.00163116475531,11,3,5,0.00265957446809,0.000687185119169,0
Parameter (computer programming),0.378787878788,0.00223620314345,33,3,5,0.00797872340426,0.00089276661578,0
Standard Performance Evaluation Corporation,0.625,0.0061004784689,2,3,5,0.00265957446809,0.00065173904274,0
Moon,0.575,0.00561688311688,25,3,5,0.0212765957447,0.00566961330911,0
General-purpose programming language,0.404205607477,0.0331542079639,107,2,5,0.0265957446809,0.00202089837627,0
Fortran,0.44476744186,0.00418163733677,86,3,5,0.0265957446809,0.00175220079458,0
Z/OS,0.625,0.0061004784689,2,3,5,0.00265957446809,0.00065173904274,0
Telephone exchange,1.0,0.030303030303,1,2,2,0.00797872340426,0.000999921644278,0
Mobile app,0.388257575758,0.00540678347082,66,3,5,0.0132978723404,0.00439835134106,0
Duplicate code,0.508928571429,0.00249114801586,14,3,5,0.00531914893617,0.000996101520622,0
Product bundling,0.597826086957,0.00244316174627,23,3,5,0.00265957446809,0.00116743207548,0
Data manipulation language,0.354166666667,0.00218781732671,6,3,5,0.00531914893617,0.000829959332897,0
Design by contract,0.453703703704,0.00204202588675,27,3,5,0.00797872340426,0.000782837954519,0
Watch,0.621951219512,0.00433480426304,41,3,5,0.00797872340426,0.00151379793736,0
Java Community Process,0.41847826087,0.0015910048202,23,3,5,0.00531914893617,0.000732185112844,0
State (computer science),0.467905405405,0.00580051408715,74,3,5,0.0106382978723,0.00185301520768,0
Typeface,1.0,0.00416217511079,3,3,5,0.00531914893617,0.000882464973446,0
Research,0.386363636364,0.00163116475531,11,3,5,0.00265957446809,0.000687185119169,0
Indian Space Research Organisation,1.0,0.00126262626263,1,3,3,0.00265957446809,0.000678946425188,0
Class (computer programming),0.306490384615,0.0104117853758,156,3,5,0.0345744680851,0.00445112891966,1
Charge-coupled device,0.386363636364,0.00163116475531,11,3,5,0.00265957446809,0.000687185119169,0
Visual Basic .NET,0.282894736842,0.00154576506021,19,3,5,0.00797872340426,0.000680312818313,0
EEPROM,0.760869565217,0.0015725948698,23,3,5,0.00797872340426,0.00143996912543,0
GNU Compiler for Java,0.233695652174,0.0015910048202,23,3,5,0.00531914893617,0.000732185112844,0
Relational model,0.4609375,0.00744860493479,48,3,5,0.0212765957447,0.00320334018581,0
Free software,0.30303030303,0.00432913785474,66,3,5,0.031914893617,0.00219329873309,0
Spreadsheet,0.360576923077,0.00313699622633,26,3,5,0.00531914893617,0.00149825315273,0
Supply chain management,1.0,0.003367003367,1,3,3,0.00265957446809,0.000607954085971,0
Codd's 12 rules,0.65,0.00176694190583,5,3,5,0.00265957446809,0.000684497858175,0
Computer hardware,0.519305019305,0.0239343746131,259,3,5,0.0425531914894,0.0151176279985,1
Dr. Dobb's Journal,0.375,0.00435388366423,2,3,5,0.00265957446809,0.00061541050838,0
Relational database management system,0.65625,0.00331015178237,8,3,5,0.0106382978723,0.00121785659882,0
Fourth-generation programming language,0.65,0.00176694190583,5,3,5,0.00265957446809,0.000684497858175,0
Instance (computer science),0.185096153846,0.00391494950968,78,3,5,0.0106382978723,0.00214853705962,0
ML (programming language),0.35,0.00182185952698,30,3,5,0.0106382978723,0.000826921543502,0
Computer memory,0.402173913043,0.0382936051663,69,2,5,0.0239361702128,0.0103496649687,0
Front and back ends,0.357142857143,0.00175567431654,7,3,5,0.00265957446809,0.000568274423586,0
Computer performance,1.0,0.030303030303,1,2,2,0.00265957446809,0.000638911693731,0
Generic programming,0.356104651163,0.0392912333693,43,2,5,0.0265957446809,0.00248851063658,0
Functional programming,0.330607476636,0.00698691521485,107,3,5,0.0265957446809,0.00360680807332,0
Low-level programming language,0.410353535354,0.0344567817941,99,2,5,0.0132978723404,0.00245405958391,0
Library (computing),0.408547794118,0.0136584953593,136,3,5,0.031914893617,0.00427625318168,0
.NET Framework,0.444852941176,0.00527334343964,34,3,5,0.0132978723404,0.00104098808212,0
Unix-like,0.327586206897,0.00214524602063,58,3,5,0.0159574468085,0.00115986082733,0
Game engine,0.55,0.00371935828553,25,3,5,0.00797872340426,0.00103806658472,0
Microsoft Visual Studio,0.361842105263,0.00263654884919,19,3,5,0.0132978723404,0.000852324671164,0
DirectX,0.5,0.0016835016835,1,3,3,0.00265957446809,0.000555088807779,0
Python (programming language),0.341198979592,0.00581444191162,98,3,5,0.0239361702128,0.00274598565477,0
Porting,0.483870967742,0.00629927207128,62,3,5,0.0159574468085,0.00223009955822,0
Freeware,0.375,0.00259942404339,9,3,5,0.0106382978723,0.000856917820565,0
Airplane,0.666666666667,0.00219035594036,3,3,5,0.00265957446809,0.000581925570367,0
C (programming language),0.38256227758,0.0542796094683,281,2,5,0.0877659574468,0.00631581961761,1
