sep=,
node,bidir_probs,deeprank_probs,ns_paths,min_depths,max_depths,in_degrees,pageranks
"Murray Hill, New Jersey",0.19318181818181818,0.0016311647553114142,11,3,5,0.0026595744680851063,0.0006871851191686082
Parameter (computer programming),0.3787878787878788,0.0022362031434504572,33,3,5,0.007978723404255319,0.0008927666157801284
Standard Performance Evaluation Corporation,0.625,0.006100478468899523,2,3,5,0.0026595744680851063,0.000651739042740046
Moon,0.575,0.005616883116883116,25,3,5,0.02127659574468085,0.0056696133091068196
General-purpose programming language,0.40420560747663553,0.03315420796385325,107,2,5,0.026595744680851064,0.002020898376274534
Fortran,0.44476744186046513,0.004181637336773704,86,3,5,0.026595744680851064,0.0017522007945817823
Z/OS,0.625,0.006100478468899523,2,3,5,0.0026595744680851063,0.000651739042740046
Telephone exchange,1.0,0.030303030303030304,1,2,2,0.007978723404255319,0.0009999216442783355
Mobile app,0.38825757575757575,0.005406783470821944,66,3,5,0.013297872340425532,0.004398351341057581
Duplicate code,0.5089285714285714,0.0024911480158551604,14,3,5,0.005319148936170213,0.0009961015206222327
Product bundling,0.5978260869565217,0.002443161746267894,23,3,5,0.0026595744680851063,0.0011674320754835894
Data manipulation language,0.3541666666666667,0.0021878173267062154,6,3,5,0.005319148936170213,0.0008299593328965246
Design by contract,0.4537037037037037,0.0020420258867508458,27,3,5,0.007978723404255319,0.0007828379545185488
Watch,0.6219512195121951,0.004334804263044811,41,3,5,0.007978723404255319,0.0015137979373641038
Java Community Process,0.41847826086956524,0.0015910048202042555,23,3,5,0.005319148936170213,0.0007321851128443118
State (computer science),0.46790540540540543,0.0058005140871503135,74,3,5,0.010638297872340425,0.0018530152076779256
Typeface,1.0,0.0041621751107917115,3,3,5,0.005319148936170213,0.0008824649734460754
Research,0.38636363636363635,0.0016311647553114142,11,3,5,0.0026595744680851063,0.0006871851191686082
Indian Space Research Organisation,1.0,0.0012626262626262625,1,3,3,0.0026595744680851063,0.0006789464251878117
Class (computer programming),0.30649038461538464,0.010411785375787757,156,3,5,0.034574468085106384,0.004451128919657557
Charge-coupled device,0.38636363636363635,0.0016311647553114142,11,3,5,0.0026595744680851063,0.0006871851191686082
Visual Basic .NET,0.28289473684210525,0.0015457650602072833,19,3,5,0.007978723404255319,0.0006803128183132365
EEPROM,0.7608695652173914,0.0015725948697950917,23,3,5,0.007978723404255319,0.0014399691254342497
GNU Compiler for Java,0.23369565217391305,0.0015910048202042555,23,3,5,0.005319148936170213,0.0007321851128443118
Relational model,0.4609375,0.007448604934790543,48,3,5,0.02127659574468085,0.003203340185808483
Free software,0.30303030303030304,0.004329137854743249,66,3,5,0.031914893617021274,0.0021932987330931463
Spreadsheet,0.3605769230769231,0.0031369962263342577,26,3,5,0.005319148936170213,0.0014982531527345476
Supply chain management,1.0,0.003367003367003367,1,3,3,0.0026595744680851063,0.0006079540859706931
Codd's 12 rules,0.65,0.0017669419058307947,5,3,5,0.0026595744680851063,0.000684497858174588
Computer hardware,0.5193050193050193,0.023934374613085126,259,3,5,0.0425531914893617,0.015117627998462403
Dr. Dobb's Journal,0.375,0.004353883664228492,2,3,5,0.0026595744680851063,0.0006154105083802112
Relational database management system,0.65625,0.0033101517823740044,8,3,5,0.010638297872340425,0.001217856598821689
Fourth-generation programming language,0.65,0.0017669419058307947,5,3,5,0.0026595744680851063,0.000684497858174588
Instance (computer science),0.18509615384615385,0.003914949509684967,78,3,5,0.010638297872340425,0.0021485370596215345
ML (programming language),0.35,0.0018218595269765517,30,3,5,0.010638297872340425,0.0008269215435020214
Computer memory,0.40217391304347827,0.03829360516629541,69,2,5,0.023936170212765957,0.01034966496866457
Front and back ends,0.35714285714285715,0.001755674316543574,7,3,5,0.0026595744680851063,0.0005682744235858978
Computer performance,1.0,0.030303030303030304,1,2,2,0.0026595744680851063,0.0006389116937305108
Generic programming,0.3561046511627907,0.039291233369269984,43,2,5,0.026595744680851064,0.002488510636579814
Functional programming,0.33060747663551404,0.00698691521485388,107,3,5,0.026595744680851064,0.0036068080733229558
Low-level programming language,0.41035353535353536,0.034456781794147025,99,2,5,0.013297872340425532,0.002454059583911675
Library (computing),0.4085477941176471,0.013658495359259032,136,3,5,0.031914893617021274,0.004276253181683861
.NET Framework,0.44485294117647056,0.005273343439636616,34,3,5,0.013297872340425532,0.001040988082118427
Unix-like,0.3275862068965517,0.0021452460206308516,58,3,5,0.015957446808510637,0.0011598608273338357
Game engine,0.55,0.003719358285526472,25,3,5,0.007978723404255319,0.0010380665847220614
Microsoft Visual Studio,0.3618421052631579,0.002636548849192527,19,3,5,0.013297872340425532,0.0008523246711643897
