sep=,
node,bidir_probs,deeprank_probs,ns_paths,min_depths,max_depths,in_degrees,pageranks
Thread (computing),0.6,0.007379708768597658,5,3,5,0.009433962264150943,0.0033225672034568813
Computer science,0.828125,0.10364560012220828,32,3,5,0.08490566037735849,0.036864382002088865
Internet,0.6983695652173914,0.07581351567535774,92,3,5,0.12264150943396226,0.04742490223830676
Waggle dance,1.0,0.007692307692307693,1,3,3,0.009433962264150943,0.003213523171897745
Representational state transfer,1.0,0.007692307692307693,1,3,3,0.009433962264150943,0.0031361233189251144
Instant messaging,0.6282051282051282,0.02192996623259781,39,3,5,0.04716981132075471,0.02415865500736383
Loose coupling,0.8888888888888888,0.01930990819879709,9,3,5,0.018867924528301886,0.0043540238446527916
Queue (abstract data type),0.6,0.007379708768597658,5,3,5,0.009433962264150943,0.0033225672034568813
Presence information,1.0,0.003496503496503497,1,3,3,0.009433962264150943,0.0030272144985070653
Application programming interface,0.8714285714285714,0.06030821030821032,35,3,5,0.05660377358490566,0.008569349481278408
Line-of-sight propagation,1.0,0.007692307692307693,1,3,3,0.009433962264150943,0.003213523171897745
Message-oriented middleware,0.8333333333333334,0.08099333793778236,21,3,5,0.05660377358490566,0.00667493608719704
Embedded system,1.0,0.02551864801864802,6,3,4,0.02830188679245283,0.00469552448466761
Personal area network,0.8333333333333334,0.01794871794871795,3,3,4,0.02830188679245283,0.006855653459548184
Octet (computing),0.65625,0.011743702204228521,8,3,5,0.018867924528301886,0.004719809561180553
Open standard,1.0,0.019162781662781667,6,3,5,0.03773584905660377,0.007164002665179605
Remote procedure call,0.9444444444444444,0.036077656910990255,18,3,5,0.018867924528301886,0.006843444243213834
Application software,0.8823529411764706,0.10766197707425776,51,3,5,0.04716981132075471,0.037361980201251796
Modular programming,1.0,0.038461538461538464,1,3,3,0.009433962264150943,0.004177828055749671
Free and open-source software,1.0,0.003496503496503497,1,3,3,0.009433962264150943,0.0030272144985070653
Computer network,0.7,0.09709746596807997,75,3,5,0.1509433962264151,0.0746963710087883
Routing,0.78125,0.013031890623995887,24,3,5,0.04716981132075471,0.010058930406972606
